,x,y,z,bin,gc_content_percentage
287,-0.1296,-0.5122,0.4896,161000000,47.82
288,-0.1016,-0.5142,0.5375,161500000,41.36
289,-0.0891,-0.5296,0.5896,162000000,42.72
290,-0.0739,-0.5059,0.5854,162500000,40.03
291,-0.0304,-0.4966,0.5807,163000000,37.86
292,0.011,-0.4623,0.5671,163500000,37.44
293,-0.0039,-0.4573,0.5897,164000000,37.28
294,-0.0204,-0.4208,0.5506,164500000,41.43
295,-0.0175,-0.3843,0.4892,165000000,42.43
296,-0.0402,-0.353,0.441,165500000,41.78
297,-0.0175,-0.3382,0.4133,166000000,41.39
298,-0.002,-0.318,0.4373,166500000,39.26
299,-0.0229,-0.3342,0.4739,167000000,41.41
300,-0.0553,-0.3528,0.5297,167500000,42.35
301,-0.1022,-0.373,0.5724,168000000,41.34
302,-0.1646,-0.3747,0.5924,168500000,39.32
303,-0.1934,-0.3608,0.5863,169000000,38.15
304,-0.1888,-0.3872,0.6278,169500000,38.37
305,-0.2266,-0.3984,0.6175,170000000,37.5
306,-0.2456,-0.4145,0.6535,170500000,37.98
307,-0.2735,-0.4253,0.6358,171000000,39.74
308,-0.305,-0.3932,0.5785,171500000,39.88
309,-0.3449,-0.3941,0.6045,172000000,37.68
310,-0.3508,-0.3493,0.5846,172500000,38.57
311,-0.3313,-0.3398,0.631,173000000,39.28
312,-0.355,-0.3013,0.604,173500000,39.63
313,-0.3241,-0.2952,0.6439,174000000,38.12
314,-0.3015,-0.281,0.5994,174500000,38.57
315,-0.2425,-0.2596,0.573,175000000,42.96
316,-0.2702,-0.2421,0.5807,175500000,42.97
317,-0.2969,-0.2168,0.54,176000000,37.9
318,-0.2918,-0.1638,0.4593,176500000,40.27
319,-0.2617,-0.1244,0.4324,177000000,40.87
320,-0.2155,-0.1102,0.4367,177500000,40.66
321,-0.2007,-0.1032,0.4785,178000000,38.4
322,-0.1794,-0.105,0.5242,178500000,40.93
323,-0.1788,-0.1232,0.5674,179000000,41.59
324,-0.1703,-0.1476,0.6344,179500000,40.65
325,-0.1643,-0.1852,0.737,180000000,40.96
326,-0.1522,-0.2247,0.8172,180500000,40.99
327,-0.182,-0.2204,0.8354,181000000,44.74
328,-0.1418,-0.2494,0.8369,181500000,42.01
329,-0.1503,-0.244,0.8734,182000000,42.56
330,-0.1489,-0.2172,0.8907,182500000,41.28
331,-0.1355,-0.1944,0.8761,183000000,42.0
332,-0.1069,-0.2197,0.8842,183500000,40.38
333,-0.0736,-0.201,0.8922,184000000,40.06
334,-0.0487,-0.2216,0.8762,184500000,39.61
335,-0.0396,-0.2161,0.8465,185000000,38.71
